SUBJECT,L1per_lo-hi,L1sem_lo-hi,L2per_lo-hi,L2sem_lo-hi,gender,AoA_L2,age,bestL1,bestL2,interL1,interL2,selfperceptionL1,selfperceptionL2,expoL1,expoL2,ID,region
07EB,-0.3039,-0.0886,0.0996,0.1776,1.0,5.0,25.0,77.0,70.0,5.0,5.0,9.0,8.0,62.5,32.5,4245.0,orbitalis
09EB,-0.0836,0.0403,0.26539999999999997,0.3711,2.0,3.0,34.0,77.0,70.0,5.0,5.0,9.0,7.0,70.0,21.67,3291.0,orbitalis
010EB,0.004100000000000001,0.22920000000000001,0.1376,0.1702,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,58.33,35.0,3501.0,opercularis
011EB,-0.1771,0.026099999999999998,0.3043,0.2811,1.0,0.0,33.0,77.0,65.0,5.0,4.0,8.0,6.0,98.33,1.67,439.0,opercularis
015EB,-0.19970000000000002,0.105,-0.077,0.0408,2.0,0.0,22.0,74.0,60.0,5.0,5.0,10.0,10.0,53.33,36.67,2218.0,opercularis
016EB,-0.084,-0.04369999999999999,0.06,0.2631,2.0,2.0,20.0,77.0,71.0,5.0,4.0,9.0,8.0,60.0,42.0,3789.0,opercularis
017EB,0.004699999999999996,9.999999999998899e-05,0.05650000000000001,0.36219999999999997,1.0,2.0,21.0,77.0,72.0,5.0,4.0,10.0,8.0,51.67,38.33,4481.0,opercularis
018EB,0.0911,-0.0361,0.0763,0.1463,1.0,3.0,22.0,71.0,68.0,5.0,5.0,10.0,10.0,83.33,15.0,2799.0,opercularis
01EB,0.2229,-0.0368,0.3806,0.3512,2.0,1.0,36.0,77.0,60.0,5.0,4.0,8.0,7.0,65.0,13.33,1417.0,opercularis
020EB,0.05299999999999999,-0.0995,0.24730000000000002,0.192,2.0,2.0,25.0,75.0,61.0,5.0,4.0,9.0,9.0,55.0,26.67,1897.0,opercularis
021EB,-0.0533,0.1037,0.2462,0.058199999999999995,2.0,2.0,25.0,75.0,61.0,5.0,4.0,10.0,8.0,55.0,26.67,4189.0,opercularis
023EB,0.0842,0.0529,0.3257,0.40180000000000005,2.0,0.0,35.0,77.0,74.0,5.0,3.0,10.0,8.0,65.0,26.67,1720.0,opercularis
024EB,0.0882,0.181,0.2786,0.4537,1.0,2.0,29.0,77.0,58.0,5.0,4.0,10.0,9.0,76.67,23.33,3122.0,opercularis
02EB,-0.1126,0.2483,0.29,0.5128,1.0,0.0,23.0,77.0,70.0,5.0,5.0,10.0,8.0,63.33,18.33,2138.0,opercularis
030LBB,0.0445,-0.1391,0.1412,0.2901,1.0,8.0,22.0,75.0,65.0,5.0,5.0,10.0,9.0,55.0,37.5,2519.0,opercularis
032LBB,0.013800000000000007,0.0473,0.2677,0.0908,1.0,8.0,23.0,77.0,74.0,5.0,5.0,10.0,9.0,68.33,30.0,2860.0,opercularis
033LBB,-0.03949999999999999,0.05499999999999999,0.0275,0.1481,1.0,26.0,37.0,77.0,45.0,5.0,4.0,9.0,8.0,60.0,3.0,3033.0,opercularis
034LBB,0.026200000000000005,0.0158,0.12359999999999999,0.11140000000000001,2.0,6.0,24.0,77.0,72.0,5.0,3.0,10.0,7.0,83.33,20.0,292.0,opercularis
035LBB,-0.0648,0.12030000000000002,0.4259,0.5377000000000001,1.0,14.0,44.0,77.0,77.0,5.0,5.0,10.0,8.0,60.0,38.33,3088.0,opercularis
036LBB,0.1734,0.092,-0.2626,0.0775,1.0,7.0,22.0,72.0,68.0,5.0,4.0,10.0,8.0,55.0,37.5,2518.0,opercularis
037LBB,0.0498,0.024500000000000008,0.1869,0.4264,2.0,24.0,39.0,75.0,55.0,5.0,4.0,10.0,7.0,80.0,15.0,531.0,opercularis
