SUBJECT,L1per_lo-hi,L1sem_lo-hi,L2per_lo-hi,L2sem_lo-hi,gender,AoA_L2,age,bestL1,bestL2,interL1,interL2,selfperceptionL1,selfperceptionL2,expoL1,expoL2,ID,region
039LBB,0.07250000000000001,-0.03090000000000001,0.029700000000000004,0.10160000000000001,2.0,9.0,25.0,77.0,65.0,5.0,4.0,10.0,7.0,95.0,5.0,3046.0,VOT
040LBB,0.17099999999999999,-0.006599999999999995,0.0475,0.1837,2.0,9.0,28.0,77.0,54.0,5.0,4.0,10.0,8.0,81.67,13.33,1427.0,VOT
041LBB,0.0416,0.032600000000000004,0.2141,-0.12890000000000001,2.0,6.0,25.0,77.0,48.0,5.0,4.0,8.0,6.0,67.5,15.0,3096.0,VOT
043LBB,0.0549,-0.2334,0.09720000000000001,-0.049699999999999994,1.0,7.0,21.0,77.0,64.0,5.0,5.0,8.0,8.0,42.5,42.5,3054.0,VOT
044LBB,-0.1431,-0.14250000000000002,0.3932,-0.0974,1.0,6.0,25.0,75.0,55.0,5.0,4.0,9.0,8.0,70.0,30.0,2738.0,VOT
045LBB,-0.027800000000000005,0.0293,0.2223,-0.086,1.0,22.0,42.0,77.0,70.0,5.0,4.0,10.0,7.0,75.0,15.0,1709.0,VOT
046LBB,-0.09069999999999999,0.010099999999999998,0.2012,0.29910000000000003,1.0,22.0,41.0,77.0,55.0,5.0,4.0,10.0,8.0,67.5,32.5,2299.0,VOT
047LBB,0.04999999999999999,-0.010399999999999993,0.2103,0.5236000000000001,2.0,3.0,35.0,77.0,72.0,5.0,5.0,9.0,8.0,65.0,25.0,3501.0,VOT
04EB,-0.06540000000000001,0.1192,0.154,0.4946,1.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,8.0,78.33,16.67,3770.0,VOT
05EB,0.03849999999999999,0.0409,0.2697,0.0989,2.0,3.0,22.0,76.0,53.0,5.0,4.0,10.0,9.0,75.0,18.33,3920.0,VOT
06EB,-0.0023999999999999855,0.07680000000000001,-0.0954,0.0958,1.0,0.0,20.0,77.0,73.0,5.0,5.0,9.0,7.0,67.5,32.5,3053.0,VOT
07EB,-0.3574,-0.2156,-0.6185,-0.2018,1.0,5.0,25.0,77.0,70.0,5.0,5.0,9.0,8.0,62.5,32.5,4245.0,VOT
09EB,-0.016799999999999995,-0.03949999999999999,-0.058599999999999985,-0.008199999999999999,2.0,3.0,34.0,77.0,70.0,5.0,5.0,9.0,7.0,70.0,21.67,3291.0,VOT
